epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0001,143,5.474385800852133e-05,-1.0041767604593299e-07,True
0.0001,144,4.488553586412536e-05,-1.0192474632873816e-07,True
0.0001,145,3.4046564536538426e-05,3.3392676897919804e-07,True
0.0001,146,0.00023911896910533414,4.38564955504428e-07,True
0.0001,147,-0.0002989361762182341,-2.501571822605131e-08,True
0.0001,148,0.00015287078515058283,4.813149096886959e-07,True
0.0001,149,4.130206893648847e-05,-1.8154360112085377e-07,True
0.0001,150,-0.00017344064031377115,-1.9869643867048703e-07,True
0.0001,151,9.484738661669212e-05,-5.709774869924744e-08,True
0.0001,152,4.374039899701643e-05,6.353087852323247e-08,True
0.0001,153,0.00012095018810143188,-7.998776977574673e-08,True
0.0001,154,0.0001462583218305724,4.170374607453953e-08,True
0.0001,155,-1.2964793445036094e-05,-7.850029378267398e-09,True
0.0001,156,-0.00018192772387948253,-2.0107283855638758e-07,True
0.0001,157,-6.273518787125454e-05,-1.8902365837153434e-07,True
0.0001,158,-0.00011044691108352822,6.525798301737495e-08,True
0.0001,159,6.632389418115281e-05,-1.9073493201515745e-09,True
0.0001,160,-2.3814626473495082e-05,2.6839932047717507e-08,True
0.0001,161,-0.0002213368746346589,-2.0489016020440454e-07,True
0.0001,162,0.00013395063732701828,1.348723339192337e-07,True
0.0001,163,-0.00015330268786328816,-3.0191946981568407e-07,True
0.0001,164,0.00033841246602506203,3.6090927550171126e-07,True
0.0001,165,-7.14146670226512e-05,-7.691602085975469e-08,True
0.0001,166,-4.259313587695601e-05,3.6654037234226666e-08,True
0.0001,167,-0.00021791007200633317,-1.2315242399474347e-07,True
0.0001,168,-0.00016685170560393203,-5.383632145465611e-08,True
0.0001,169,-4.628658853889078e-05,8.653562259472447e-08,True
0.0001,170,1.1259916561812133e-05,1.4123361213175256e-09,True
0.0001,171,-8.689132669204014e-05,-1.790682846256747e-07,True
0.0001,172,-0.00016773586022722498,5.282579337156923e-08,True
0.0001,173,-0.0001542257028148697,-1.0568376960888581e-07,True
0.0001,174,-0.0001749853599584128,-2.5509453687594386e-07,True
0.0001,175,3.429976233704224e-05,4.526253056733043e-08,True
0.0001,176,6.208286849584965e-05,1.361821031775623e-07,True
0.0001,177,-0.00028062681104046305,-3.678400280864025e-07,True
0.0001,178,-0.00030615645928122603,-3.3553559989490944e-07,True
0.0001,179,0.00017044090636986198,2.1901841359105167e-07,True
0.0001,180,-0.00015107334117558935,-2.5571764076387504e-07,True
0.0001,181,-0.0001423876755310971,-1.8628659221101018e-07,True
0.0001,182,0.00013718062241707685,2.7151201593619834e-07,True
0.0001,183,-3.0370061256945746e-05,2.2915759699711213e-07,True
0.0001,184,-7.793464684269225e-05,-3.410046259949562e-08,True
0.0001,185,9.892108751685669e-05,-5.1698480971890115e-08,True
0.0001,186,-0.0003079868313236034,-1.4357716113938546e-07,True
0.0001,187,-0.00012621228497522452,-6.046774798582066e-08,True
0.0001,188,8.739348427511118e-05,-6.848912565554643e-10,True
0.0001,189,-8.939693326937004e-05,3.3719411261443066e-08,True
0.0001,190,-1.849107432505548e-05,-5.440358954306168e-08,True
0.0001,191,-3.7716275446797454e-05,-1.3826101350616904e-07,True
0.0001,192,8.726323195418217e-05,-8.530235634865435e-08,True
0.0001,193,-0.0001486832599297827,-1.0459365281170752e-07,True
0.0001,194,8.653241875933304e-05,5.924109524463317e-08,True
0.0001,195,7.116337311785514e-05,2.976900956176004e-07,True
0.0001,196,0.00022344781718430795,4.105051235082924e-07,True
0.0001,197,-3.508106112093401e-05,-1.903730553753924e-07,True
0.0001,198,-3.6517316011952516e-05,1.4060821568531723e-07,True
0.0001,199,0.00020557935406273486,2.940299180988898e-07,True
0.0005,0,0.001272980334462659,2.100980909951894e-06,True
0.0005,1,-0.0009172961021839399,-8.310331168631668e-07,True
0.0005,2,0.0011091599532910834,2.132936102428387e-06,True
0.0005,3,0.0009327076876814999,4.97555246482817e-08,True
0.0005,4,-0.0019523849896145862,-2.219894072154338e-06,True
0.0005,5,0.0003938196556703133,7.715172112426893e-07,True
0.0005,6,-0.001006241088365556,-8.189452627930388e-07,True
0.0005,7,-0.0003442533787954005,-4.855260558149499e-07,True
0.0005,8,-0.0006008824928720458,-3.396781123529702e-07,True
